Recurso,Peca,Qtde,Etapa,LEAD TIME,Código,Célula,flag peça,Etapa2,Etapa3,Etapa4,Etapa5,Etapa6
032546,"PLATAFORMA 4,00 x 2,10m [F6C M22]",1,,30,032546,PLAT. TANQUE. CAÇAM.,1,,Solda,,,
032549,Gigante BAG/CENOURA,1,Montagem,30,032549,LATERAL,1,Pintura,,,COLORIDO,
032633,"CBH6,0 - UG - 01 EIXO (NOVO)",1,Montagem,30,032633,PLAT. TANQUE. CAÇAM.,1,Pintura,Solda,,COLORIDO,
032635,"CBH6,0 - A.L - 01 EIXO (NOVO)",1,Montagem,30,032635,PLAT. TANQUE. CAÇAM.,1,Pintura,Solda,,COLORIDO,
032637,Gradil 4300 M22,1,,30,032637,PLAT. TANQUE. CAÇAM.,1,,,,,
032640,6000 SS,1,Montagem,30,032640,EIXO SIMPLES,1,,,,,
032641,6000 SS,1,Montagem,30,032641,EIXO COMPLETO,1,Pintura,,,CINZA,
032641,6000 SS,1,Montagem,30,032641,EIXO SIMPLES,1,,,,,
032681,Corpo do Tanque 4300 M22,1,Montagem,30,032681,PLAT. TANQUE. CAÇAM.,1,,,,,
032686,PLATAFORMA [FA2A M22],1,Montagem,30,032686,PLAT. TANQUE. CAÇAM.,1,Pintura,Solda,,COLORIDO,
032691,Gigante Manga,1,Montagem,30,032691,LATERAL,1,Pintura,,,COLORIDO,
032726,CHASSI 6000 SC [CBH6 M22],1,Montagem,30,032726,CHASSI,1,Pintura,Solda,,CINZA,
032729,6000 SC,1,Montagem,30,032729,EIXO COMPLETO,1,Pintura,,,CINZA,
032731,CORPO DO TANQUE 6500 M22,1,Montagem,30,032731,PLAT. TANQUE. CAÇAM.,1,,,,,
032737,TANQUE SIMPLES ESPECIAL 6500 M22,1,Montagem,30,032737,PLAT. TANQUE. CAÇAM.,1,Pintura,Solda,,COLORIDO,
032737,TANQUE SIMPLES ESPECIAL 6500 M22,1,Montagem,30,032737,PLAT. TANQUE. CAÇAM.,1,Pintura,Solda,,COLORIDO,
032762,CHASSI F6 SS PARA TANQUE,1,Montagem,30,032762,CHASSI,1,Pintura,Solda,,CINZA,
032763,CHASSI F6 C/M PARA TANQUE,1,Montagem,30,032763,CHASSI,1,Pintura,Solda,,CINZA,
032764,CHASSI 4T F4 SS PARA TANQUE,1,Montagem,30,032764,CHASSI,1,Pintura,Solda,,CINZA,
032770,Tanque 4300 M22,1,Montagem,30,032770,PLAT. TANQUE. CAÇAM.,1,Pintura,Solda,,COLORIDO,
032770,Corpo do Tanque 4300 M22,1,Montagem,30,032681,PLAT. TANQUE. CAÇAM.,1,,,,,
032770,Gradil 4300 M22,1,Montagem,30,032637,PLAT. TANQUE. CAÇAM.,1,,,,,
032770,Escada Coml T3/4,1,Montagem,30,411267,PLAT. TANQUE. CAÇAM.,1,,,,,
032783,F6/F4 CM,2,Montagem,30,032783,EIXO SIMPLES,1,,,,,
032784,Eixo F4/6 CM,2,Montagem,30,032784,EIXO COMPLETO,1,Pintura,,,CINZA,
032784,Eixo F4/6 CM,2,Montagem,30,032784,EIXO COMPLETO,1,Pintura,,,CINZA,
032871,"Gradil T6,5",1,,30,032871,PLAT. TANQUE. CAÇAM.,1,,,,,
033208,Tandem 6T S/ Trava,1,Montagem,30,033208,EIXO SIMPLES,1,,,,,
033331,PINO DE ENGATE ,1,Montagem,30,033331,FUEIRO,1,,,,,
033420,Eixo Balancim Simples S/Trava (TUBO) UVA,1,Montagem,30,033420,EIXO SIMPLES,1,,,,,
033421,EIXO SIMPLES TANDEM C/TRAVA UVA,1,Montagem,30,033421,EIXO SIMPLES,1,,,,,
033422,Eixo TANDEM S/TRAVA UVA,1,Montagem,30,033422,EIXO COMPLETO,1,Pintura,,,CINZA,
033423,Eixo TANDEM C/TRAVA UVA,1,Montagem,30,033423,EIXO COMPLETO,1,Pintura,,,CINZA,
033639,CENOURA,1,Montagem,30,033638,PLAT. TANQUE. CAÇAM.,1,Pintura,Solda,,COLORIDO,
034550,CILINDRO 5000,1,Montagem,30,034550,CILINDRO,1,Pintura,,,CINZA,
034550,CAMISA CILINDRO 5000,1,Montagem,30,034547,CILINDRO 2,1,,,,,
034550,HASTE CILINDRO 5000/7t,1,Montagem,30,034899,CILINDRO 2,1,,,,,
034550,CILINDRO 5000,1,Montagem,30,034550,QUALIDADE,1,,,,,
411267,Escada Coml T3/4,1,,30,411267,PLAT. TANQUE. CAÇAM.,1,,,,,
411528,Escada Compl T6,1,,30,411528,PLAT. TANQUE. CAÇAM.,1,,,,,
416356,Içamento FA6,1,Montagem,30,416356,IÇAMENTO,1,Pintura,,,CINZA,
425035,VARAO FRENAGEM 5000 CBHM,2,,30,425035,EIXO COMPLETO,1,,,,,
425916,Eixo Completo SS RD (4500) CBHM,1,Montagem,30,425916,EIXO COMPLETO,1,Pintura,,,CINZA,
425928,Grade Dianteira INF (4500) CBHM,1,Montagem,30,425928,LATERAL,1,Pintura,,,COLORIDO,
425930,Grade Dianteira SUP (4500) CBHM,1,Montagem,30,425930,LATERAL,1,Pintura,,,COLORIDO,
430468,CHASSI UVA,1,Montagem,30,430468,CHASSI,1,Pintura,Solda,,CINZA,
440001,FRIXE MOLA RETO 8 LÂM,1,,30,440001,FORJARIA,1,Pintura,,,,
450789,Plataforma 6000/10.000 1 Eixo,1,Montagem,30,450789,PLAT. TANQUE. CAÇAM.,1,Pintura,Solda,,COLORIDO,
453225,Içamento Simples UVA,1,Montagem,30,453225,IÇAMENTO,1,Pintura,,,CINZA,
460382,"Diant SUP 0,45",1,Montagem,30,460382,LATERAL,1,Pintura,,,COLORIDO,
460400,"Diant INF 0,45",1,Montagem,30,460400,LATERAL,1,Pintura,,,COLORIDO,
460576,Eixo 5000 SS,1,Montagem,30,460576,EIXO COMPLETO,1,Pintura,,,CINZA,
460576,5000 SS,1,Montagem,30,025617,EIXO SIMPLES,1,,,,,
460588,Eixo 4500 SS RS,1,Montagem,30,460588,EIXO COMPLETO,1,Pintura,,,CINZA,
460722,Eixo Completo CS (5000) CBHM,1,Montagem,30,460722,EIXO COMPLETO,1,Pintura,,,CINZA,
462160,Içamento Pequeno,1,Montagem,30,462160,IÇAMENTO,1,,,,,
462160,IÇAMENTO COMPLETO SS CINZA [F4/6 M98],1,,30,462184,IÇAMENTO,1,Pintura,,,CINZA,
